Bytes,RankA,RankB
452984832,0,1
452984832,0,2
452984832,0,3
28311552,0,4
28311552,0,5
452984832,0,6
28311552,0,7
28311552,0,8
452984832,0,9
28311552,0,10
28311552,0,11
28311552,0,12
1769472,0,13
1769472,0,14
28311552,0,15
1769472,0,16
1769472,0,17
452984832,0,18
28311552,0,19
28311552,0,20
28311552,0,21
1769472,0,22
1769472,0,23
28311552,0,24
1769472,0,25
1769472,0,26
603979776,0,27
37748736,0,28
37748736,0,29
37748736,0,30
2359296,0,31
452984832,1,2
28311552,1,3
452984832,1,4
28311552,1,5
28311552,1,6
452984832,1,7
28311552,1,8
28311552,1,9
452984832,1,10
28311552,1,11
1769472,1,12
28311552,1,13
1769472,1,14
1769472,1,15
28311552,1,16
1769472,1,17
28311552,1,18
452984832,1,19
28311552,1,20
1769472,1,21
28311552,1,22
1769472,1,23
1769472,1,24
28311552,1,25
1769472,1,26
37748736,1,27
603979776,1,28
37748736,1,29
2359296,1,30
37748736,1,31
28311552,2,3
28311552,2,4
452984832,2,5
28311552,2,6
28311552,2,7
452984832,2,8
28311552,2,9
452984832,2,20
1769472,2,21
1769472,2,22
28311552,2,23
1769472,2,24
1769472,2,25
28311552,2,26
37748736,2,27
37748736,2,28
603979776,2,29
2359296,2,30
2359296,2,31
452984832,3,4
452984832,3,5
452984832,3,6
28311552,3,7
28311552,3,8
28311552,3,9
603979776,3,30
37748736,3,31
452984832,4,5
28311552,4,6
452984832,4,7
28311552,4,8
1769472,4,9
28311552,5,6
28311552,5,7
452984832,5,8
1769472,5,9
452984832,6,7
452984832,6,8
28311552,6,9
452984832,7,8
1769472,7,9
1769472,8,9
28311552,10,2
1769472,10,3
28311552,10,4
1769472,10,5
1769472,10,6
28311552,10,7
1769472,10,8
452984832,10,9
452984832,10,11
28311552,10,12
452984832,10,13
28311552,10,14
28311552,10,15
452984832,10,16
28311552,10,17
28311552,10,18
452984832,10,19
28311552,10,20
1769472,10,21
28311552,10,22
1769472,10,23
1769472,10,24
28311552,10,25
1769472,10,26
2359296,10,27
37748736,10,28
2359296,10,29
147456,10,30
2359296,10,31
452984832,11,2
1769472,11,3
1769472,11,4
28311552,11,5
1769472,11,6
1769472,11,7
28311552,11,8
452984832,11,9
28311552,11,12
28311552,11,13
452984832,11,14
28311552,11,15
28311552,11,16
452984832,11,17
28311552,11,18
28311552,11,19
452984832,11,20
1769472,11,21
1769472,11,22
28311552,11,23
1769472,11,24
1769472,11,25
28311552,11,26
2359296,11,27
2359296,11,28
37748736,11,29
147456,11,30
147456,11,31
1769472,12,2
452984832,12,3
28311552,12,4
28311552,12,5
28311552,12,6
1769472,12,7
1769472,12,8
452984832,12,9
452984832,12,13
452984832,12,14
452984832,12,15
28311552,12,16
28311552,12,17
28311552,12,18
1769472,12,19
1769472,12,20
452984832,12,21
28311552,12,22
28311552,12,23
28311552,12,24
1769472,12,25
1769472,12,26
2359296,12,27
147456,12,28
147456,12,29
37748736,12,30
2359296,12,31
1769472,13,2
28311552,13,3
452984832,13,4
28311552,13,5
1769472,13,6
28311552,13,7
1769472,13,8
28311552,13,9
452984832,13,14
28311552,13,15
452984832,13,16
28311552,13,17
1769472,13,18
28311552,13,19
1769472,13,20
28311552,13,21
452984832,13,22
28311552,13,23
1769472,13,24
28311552,13,25
1769472,13,26
147456,13,27
2359296,13,28
147456,13,29
2359296,13,30
37748736,13,31
28311552,14,2
28311552,14,3
28311552,14,4
452984832,14,5
1769472,14,6
1769472,14,7
28311552,14,8
28311552,14,9
28311552,14,15
28311552,14,16
452984832,14,17
1769472,14,18
1769472,14,19
28311552,14,20
28311552,14,21
28311552,14,22
452984832,14,23
1769472,14,24
1769472,14,25
28311552,14,26
147456,14,27
147456,14,28
2359296,14,29
2359296,14,30
2359296,14,31
1769472,15,2
28311552,15,3
1769472,15,4
1769472,15,5
452984832,15,6
28311552,15,7
28311552,15,8
452984832,15,9
452984832,15,16
452984832,15,17
28311552,15,18
1769472,15,19
1769472,15,20
28311552,15,21
1769472,15,22
1769472,15,23
452984832,15,24
28311552,15,25
28311552,15,26
2359296,15,27
147456,15,28
147456,15,29
2359296,15,30
147456,15,31
1769472,16,2
1769472,16,3
28311552,16,4
1769472,16,5
28311552,16,6
452984832,16,7
28311552,16,8
28311552,16,9
452984832,16,17
1769472,16,18
28311552,16,19
1769472,16,20
1769472,16,21
28311552,16,22
1769472,16,23
28311552,16,24
452984832,16,25
28311552,16,26
147456,16,27
2359296,16,28
147456,16,29
147456,16,30
2359296,16,31
28311552,17,2
1769472,17,3
1769472,17,4
28311552,17,5
28311552,17,6
28311552,17,7
452984832,17,8
28311552,17,9
1769472,17,18
1769472,17,19
28311552,17,20
1769472,17,21
1769472,17,22
28311552,17,23
28311552,17,24
28311552,17,25
452984832,17,26
147456,17,27
147456,17,28
2359296,17,29
147456,17,30
147456,17,31
28311552,18,2
28311552,18,3
1769472,18,4
1769472,18,5
28311552,18,6
1769472,18,7
1769472,18,8
452984832,18,9
452984832,18,19
452984832,18,20
452984832,18,21
28311552,18,22
28311552,18,23
452984832,18,24
28311552,18,25
28311552,18,26
37748736,18,27
2359296,18,28
2359296,18,29
2359296,18,30
147456,18,31
28311552,19,2
1769472,19,3
28311552,19,4
1769472,19,5
1769472,19,6
28311552,19,7
1769472,19,8
28311552,19,9
452984832,19,20
28311552,19,21
452984832,19,22
28311552,19,23
28311552,19,24
452984832,19,25
28311552,19,26
2359296,19,27
37748736,19,28
2359296,19,29
147456,19,30
2359296,19,31
1769472,20,3
1769472,20,4
28311552,20,5
1769472,20,6
1769472,20,7
28311552,20,8
28311552,20,9
28311552,20,21
28311552,20,22
452984832,20,23
28311552,20,24
28311552,20,25
452984832,20,26
2359296,20,27
2359296,20,28
37748736,20,29
147456,20,30
147456,20,31
452984832,21,3
28311552,21,4
28311552,21,5
28311552,21,6
1769472,21,7
1769472,21,8
28311552,21,9
452984832,21,22
452984832,21,23
452984832,21,24
28311552,21,25
28311552,21,26
2359296,21,27
147456,21,28
147456,21,29
37748736,21,30
2359296,21,31
28311552,22,3
452984832,22,4
28311552,22,5
1769472,22,6
28311552,22,7
1769472,22,8
1769472,22,9
452984832,22,23
28311552,22,24
452984832,22,25
28311552,22,26
147456,22,27
2359296,22,28
147456,22,29
2359296,22,30
37748736,22,31
28311552,23,3
28311552,23,4
452984832,23,5
1769472,23,6
1769472,23,7
28311552,23,8
1769472,23,9
28311552,23,24
28311552,23,25
452984832,23,26
147456,23,27
147456,23,28
2359296,23,29
2359296,23,30
2359296,23,31
28311552,24,3
1769472,24,4
1769472,24,5
452984832,24,6
28311552,24,7
28311552,24,8
28311552,24,9
452984832,24,25
452984832,24,26
2359296,24,27
147456,24,28
147456,24,29
2359296,24,30
147456,24,31
1769472,25,3
28311552,25,4
1769472,25,5
28311552,25,6
452984832,25,7
28311552,25,8
1769472,25,9
452984832,25,26
147456,25,27
2359296,25,28
147456,25,29
147456,25,30
2359296,25,31
1769472,26,3
1769472,26,4
28311552,26,5
28311552,26,6
28311552,26,7
452984832,26,8
1769472,26,9
147456,26,27
147456,26,28
2359296,26,29
147456,26,30
147456,26,31
37748736,27,3
2359296,27,4
2359296,27,5
37748736,27,6
2359296,27,7
2359296,27,8
37748736,27,9
452984832,27,28
452984832,27,29
452984832,27,30
28311552,27,31
2359296,28,3
37748736,28,4
2359296,28,5
2359296,28,6
37748736,28,7
2359296,28,8
2359296,28,9
452984832,28,29
28311552,28,30
452984832,28,31
2359296,29,3
2359296,29,4
37748736,29,5
2359296,29,6
2359296,29,7
37748736,29,8
2359296,29,9
28311552,29,30
28311552,29,31
37748736,30,4
37748736,30,5
37748736,30,6
2359296,30,7
2359296,30,8
2359296,30,9
452984832,30,31
603979776,31,4
37748736,31,5
2359296,31,6
37748736,31,7
2359296,31,8
147456,31,9
